Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2021-10-12,7:30 PM,Pittsburgh Penguins,6,Tampa Bay Lightning,2,,Pittsburgh Penguins,Tampa Bay Lightning,0.0,0.0
2021-10-12,10:00 PM,Seattle Kraken,3,Vegas Golden Knights,4,,Vegas Golden Knights,Seattle Kraken,0.0,0.0
2021-10-13,10:00 PM,Winnipeg Jets,1,Anaheim Ducks,4,,Anaheim Ducks,Winnipeg Jets,0.0,0.0
2021-10-13,10:00 PM,Chicago Blackhawks,2,Colorado Avalanche,4,,Colorado Avalanche,Chicago Blackhawks,0.0,0.0
2021-10-13,10:00 PM,Vancouver Canucks,2,Edmonton Oilers,3,SO,Edmonton Oilers,Vancouver Canucks,0.0,0.0
2021-10-13,7:00 PM,Montreal Canadiens,1,Toronto Maple Leafs,2,,Toronto Maple Leafs,Montreal Canadiens,0.0,0.0
2021-10-13,7:30 PM,New York Rangers,1,Washington Capitals,5,,Washington Capitals,New York Rangers,0.0,0.0
2021-10-14,7:00 PM,Montreal Canadiens,1,Buffalo Sabres,5,,Buffalo Sabres,Montreal Canadiens,0.0,0.0
2021-10-14,7:00 PM,New York Islanders,3,Carolina Hurricanes,6,,Carolina Hurricanes,New York Islanders,0.0,0.0
2021-10-14,7:00 PM,Arizona Coyotes,2,Columbus Blue Jackets,8,,Columbus Blue Jackets,Arizona Coyotes,0.0,0.0
2021-10-14,7:30 PM,Tampa Bay Lightning,7,Detroit Red Wings,6,OT,Tampa Bay Lightning,Detroit Red Wings,0.0,0.0
2021-10-14,7:00 PM,Pittsburgh Penguins,4,Florida Panthers,5,OT,Florida Panthers,Pittsburgh Penguins,0.0,1.0
2021-10-14,10:30 PM,Vegas Golden Knights,2,Los Angeles Kings,6,,Los Angeles Kings,Vegas Golden Knights,0.0,1.0
2021-10-14,8:00 PM,Seattle Kraken,4,Nashville Predators,3,,Seattle Kraken,Nashville Predators,0.0,0.0
2021-10-14,7:00 PM,Dallas Stars,3,New York Rangers,2,OT,Dallas Stars,New York Rangers,0.0,0.0
2021-10-14,7:00 PM,Toronto Maple Leafs,2,Ottawa Senators,3,,Ottawa Senators,Toronto Maple Leafs,0.0,1.0
2021-10-15,10:00 PM,Minnesota Wild,2,Anaheim Ducks,1,,Minnesota Wild,Anaheim Ducks,1.0,0.0
2021-10-15,7:00 PM,Chicago Blackhawks,3,New Jersey Devils,4,OT,New Jersey Devils,Chicago Blackhawks,0.0,0.0
2021-10-15,7:00 PM,Vancouver Canucks,5,Philadelphia Flyers,4,SO,Vancouver Canucks,Philadelphia Flyers,0.0,0.5
2021-10-16,7:00 PM,Dallas Stars,1,Boston Bruins,3,,Boston Bruins,Dallas Stars,0.0,1.0
2021-10-16,1:00 PM,Arizona Coyotes,1,Buffalo Sabres,2,SO,Buffalo Sabres,Arizona Coyotes,1.0,0.0
2021-10-16,7:00 PM,Seattle Kraken,1,Columbus Blue Jackets,2,OT,Columbus Blue Jackets,Seattle Kraken,1.0,0.5
2021-10-16,9:00 PM,St. Louis Blues,5,Colorado Avalanche,3,,St. Louis Blues,Colorado Avalanche,1.0,0.0
2021-10-16,7:00 PM,Vancouver Canucks,1,Detroit Red Wings,3,,Detroit Red Wings,Vancouver Canucks,0.5,0.75
