Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2023-10-10,8:00 PM,Chicago Blackhawks,4,Pittsburgh Penguins,2,,Chicago Blackhawks,Pittsburgh Penguins,0.0,0.0
2023-10-10,5:30 PM,Nashville Predators,3,Tampa Bay Lightning,5,,Tampa Bay Lightning,Nashville Predators,0.0,0.0
2023-10-10,10:30 PM,Seattle Kraken,1,Vegas Golden Knights,4,,Vegas Golden Knights,Seattle Kraken,0.0,0.0
2023-10-11,7:30 PM,Chicago Blackhawks,1,Boston Bruins,3,,Boston Bruins,Chicago Blackhawks,0.0,1.0
2023-10-11,7:00 PM,Ottawa Senators,3,Carolina Hurricanes,5,,Carolina Hurricanes,Ottawa Senators,0.0,0.0
2023-10-11,10:00 PM,Winnipeg Jets,3,Calgary Flames,5,,Calgary Flames,Winnipeg Jets,0.0,0.0
2023-10-11,10:00 PM,Colorado Avalanche,5,Los Angeles Kings,2,,Colorado Avalanche,Los Angeles Kings,0.0,0.0
2023-10-11,7:00 PM,Montreal Canadiens,5,Toronto Maple Leafs,6,SO,Toronto Maple Leafs,Montreal Canadiens,0.0,0.0
2023-10-11,10:00 PM,Edmonton Oilers,1,Vancouver Canucks,8,,Vancouver Canucks,Edmonton Oilers,0.0,0.0
2023-10-12,7:00 PM,New York Rangers,5,Buffalo Sabres,1,,New York Rangers,Buffalo Sabres,0.0,0.0
2023-10-12,7:00 PM,Philadelphia Flyers,4,Columbus Blue Jackets,2,,Philadelphia Flyers,Columbus Blue Jackets,0.0,0.0
2023-10-12,8:00 PM,St. Louis Blues,1,Dallas Stars,2,SO,Dallas Stars,St. Louis Blues,0.0,0.0
2023-10-12,8:00 PM,Florida Panthers,0,Minnesota Wild,2,,Minnesota Wild,Florida Panthers,0.0,0.0
2023-10-12,7:30 PM,Detroit Red Wings,3,New Jersey Devils,4,,New Jersey Devils,Detroit Red Wings,0.0,0.0
2023-10-12,8:00 PM,Seattle Kraken,0,Nashville Predators,3,,Nashville Predators,Seattle Kraken,0.0,0.0
2023-10-12,10:30 PM,Vegas Golden Knights,4,San Jose Sharks,1,,Vegas Golden Knights,San Jose Sharks,0.0,1.0
2023-10-13,7:00 PM,Arizona Coyotes,4,New Jersey Devils,3,SO,Arizona Coyotes,New Jersey Devils,1.0,0.0
2023-10-13,7:30 PM,Pittsburgh Penguins,4,Washington Capitals,0,,Pittsburgh Penguins,Washington Capitals,0.0,0.0
2023-10-14,7:00 PM,Nashville Predators,2,Boston Bruins,3,,Boston Bruins,Nashville Predators,1.0,0.5
2023-10-14,7:00 PM,New York Rangers,3,Columbus Blue Jackets,5,,Columbus Blue Jackets,New York Rangers,0.0,1.0
2023-10-14,7:00 PM,Tampa Bay Lightning,4,Detroit Red Wings,6,,Detroit Red Wings,Tampa Bay Lightning,0.0,1.0
2023-10-14,10:00 PM,Vancouver Canucks,4,Edmonton Oilers,3,,Vancouver Canucks,Edmonton Oilers,0.0,1.0
2023-10-14,10:30 PM,Carolina Hurricanes,6,Los Angeles Kings,5,SO,Carolina Hurricanes,Los Angeles Kings,0.0,1.0
2023-10-14,7:00 PM,Chicago Blackhawks,2,Montreal Canadiens,3,,Montreal Canadiens,Chicago Blackhawks,0.5,0.5
2023-10-14,7:30 PM,Buffalo Sabres,2,New York Islanders,3,,New York Islanders,Buffalo Sabres,0.0,0.0
2023-10-14,1:00 PM,Philadelphia Flyers,2,Ottawa Senators,5,,Ottawa Senators,Philadelphia Flyers,0.0,1.0
2023-10-14,7:00 PM,Calgary Flames,2,Pittsburgh Penguins,5,,Pittsburgh Penguins,Calgary Flames,0.5,1.0
2023-10-14,10:00 PM,Colorado Avalanche,2,San Jose Sharks,1,SO,Colorado Avalanche,San Jose Sharks,0.0,1.0
2023-10-14,8:00 PM,Seattle Kraken,1,St. Louis Blues,2,SO,St. Louis Blues,Seattle Kraken,0.5,0.0
2023-10-14,7:00 PM,Minnesota Wild,4,Toronto Maple Leafs,7,,Toronto Maple Leafs,Minnesota Wild,1.0,1.0
2023-10-14,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,4,,Vegas Golden Knights,Anaheim Ducks,1.0,0.0
2023-10-14,4:00 PM,Florida Panthers,4,Winnipeg Jets,6,,Winnipeg Jets,Florida Panthers,0.0,0.0
2023-10-15,8:30 PM,Carolina Hurricanes,3,Anaheim Ducks,6,,Anaheim Ducks,Carolina Hurricanes,0.0,1.0
2023-10-15,7:00 PM,Tampa Bay Lightning,2,Ottawa Senators,5,,Ottawa Senators,Tampa Bay Lightning,0.5,0.5
2023-10-16,7:00 PM,Detroit Red Wings,4,Columbus Blue Jackets,0,,Detroit Red Wings,Columbus Blue Jackets,0.5,0.5
2023-10-16,7:00 PM,Florida Panthers,4,New Jersey Devils,3,,Florida Panthers,New Jersey Devils,0.75,0.0
2023-10-16,7:00 PM,Arizona Coyotes,1,New York Rangers,2,,New York Rangers,Arizona Coyotes,0.5,1.0
2023-10-16,7:00 PM,Chicago Blackhawks,4,Toronto Maple Leafs,1,,Chicago Blackhawks,Toronto Maple Leafs,1.0,0.3333333333333333
2023-10-16,7:00 PM,Calgary Flames,2,Washington Capitals,3,SO,Washington Capitals,Calgary Flames,0.0,0.5
2023-10-17,7:30 PM,Tampa Bay Lightning,2,Buffalo Sabres,3,OT,Buffalo Sabres,Tampa Bay Lightning,0.0,0.3333333333333333
2023-10-17,7:00 PM,Minnesota Wild,5,Montreal Canadiens,2,,Minnesota Wild,Montreal Canadiens,0.75,0.5
2023-10-17,8:00 PM,Edmonton Oilers,6,Nashville Predators,1,,Edmonton Oilers,Nashville Predators,0.3333333333333333,0.0
2023-10-17,7:30 PM,Arizona Coyotes,0,New York Islanders,1,,New York Islanders,Arizona Coyotes,1.0,0.5
2023-10-17,6:00 PM,Vancouver Canucks,0,Philadelphia Flyers,2,,Philadelphia Flyers,Vancouver Canucks,0.5,1.0
2023-10-17,10:00 PM,Colorado Avalanche,4,Seattle Kraken,1,,Colorado Avalanche,Seattle Kraken,0.16666666666666666,1.0
2023-10-17,10:30 PM,Carolina Hurricanes,6,San Jose Sharks,3,,Carolina Hurricanes,San Jose Sharks,0.25,0.6666666666666666
2023-10-17,10:30 PM,Dallas Stars,2,Vegas Golden Knights,3,SO,Vegas Golden Knights,Dallas Stars,1.0,1.0
2023-10-17,8:00 PM,Los Angeles Kings,5,Winnipeg Jets,1,,Los Angeles Kings,Winnipeg Jets,0.5,0.25
2023-10-18,7:30 PM,Pittsburgh Penguins,3,Detroit Red Wings,6,,Detroit Red Wings,Pittsburgh Penguins,0.6666666666666666,0.6666666666666666
