Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2021-01-13,10:30 PM,St. Louis Blues,4,Colorado Avalanche,1,,St. Louis Blues,Colorado Avalanche,0.0,0.0
2021-01-13,10:00 PM,Vancouver Canucks,5,Edmonton Oilers,3,,Vancouver Canucks,Edmonton Oilers,0.0,0.0
2021-01-13,5:30 PM,Pittsburgh Penguins,3,Philadelphia Flyers,6,,Philadelphia Flyers,Pittsburgh Penguins,0.0,0.0
2021-01-13,8:00 PM,Chicago Blackhawks,1,Tampa Bay Lightning,5,,Tampa Bay Lightning,Chicago Blackhawks,0.0,0.0
2021-01-13,7:00 PM,Montreal Canadiens,4,Toronto Maple Leafs,5,OT,Toronto Maple Leafs,Montreal Canadiens,0.0,0.0
2021-01-14,9:00 PM,San Jose Sharks,4,Arizona Coyotes,3,SO,San Jose Sharks,Arizona Coyotes,0.0,0.0
2021-01-14,7:00 PM,Washington Capitals,6,Buffalo Sabres,4,,Washington Capitals,Buffalo Sabres,0.0,0.0
2021-01-14,7:30 PM,Carolina Hurricanes,3,Detroit Red Wings,0,,Carolina Hurricanes,Detroit Red Wings,0.0,0.0
2021-01-14,9:00 PM,Vancouver Canucks,2,Edmonton Oilers,5,,Edmonton Oilers,Vancouver Canucks,0.0,1.0
2021-01-14,10:00 PM,Minnesota Wild,4,Los Angeles Kings,3,OT,Minnesota Wild,Los Angeles Kings,0.0,0.0
2021-01-14,7:00 PM,Boston Bruins,3,New Jersey Devils,2,SO,Boston Bruins,New Jersey Devils,0.0,0.0
2021-01-14,8:00 PM,Columbus Blue Jackets,1,Nashville Predators,3,,Nashville Predators,Columbus Blue Jackets,0.0,0.0
2021-01-14,7:00 PM,New York Islanders,4,New York Rangers,0,,New York Islanders,New York Rangers,0.0,0.0
2021-01-14,10:00 PM,Anaheim Ducks,2,Vegas Golden Knights,5,,Vegas Golden Knights,Anaheim Ducks,0.0,0.0
2021-01-14,8:00 PM,Calgary Flames,3,Winnipeg Jets,4,OT,Winnipeg Jets,Calgary Flames,0.0,0.0
2021-01-15,7:00 PM,Washington Capitals,2,Buffalo Sabres,1,,Washington Capitals,Buffalo Sabres,0.0,1.0
2021-01-15,9:00 PM,St. Louis Blues,0,Colorado Avalanche,8,,Colorado Avalanche,St. Louis Blues,0.0,1.0
2021-01-15,7:00 PM,Toronto Maple Leafs,3,Ottawa Senators,5,,Ottawa Senators,Toronto Maple Leafs,0.0,1.0
2021-01-15,7:00 PM,Pittsburgh Penguins,2,Philadelphia Flyers,5,,Philadelphia Flyers,Pittsburgh Penguins,1.0,0.0
2021-01-15,7:00 PM,Chicago Blackhawks,2,Tampa Bay Lightning,5,,Tampa Bay Lightning,Chicago Blackhawks,1.0,0.0
2021-01-16,4:00 PM,San Jose Sharks,3,Arizona Coyotes,5,,Arizona Coyotes,San Jose Sharks,0.5,1.0
2021-01-16,10:00 PM,Vancouver Canucks,0,Calgary Flames,3,,Calgary Flames,Vancouver Canucks,0.5,0.5
2021-01-16,7:00 PM,Carolina Hurricanes,2,Detroit Red Wings,4,,Detroit Red Wings,Carolina Hurricanes,0.0,1.0
2021-01-16,7:00 PM,Montreal Canadiens,5,Edmonton Oilers,1,,Montreal Canadiens,Edmonton Oilers,0.5,0.5
2021-01-16,9:00 PM,Minnesota Wild,4,Los Angeles Kings,3,OT,Minnesota Wild,Los Angeles Kings,0.5,1.0
2021-01-16,1:00 PM,Boston Bruins,1,New Jersey Devils,2,OT,New Jersey Devils,Boston Bruins,0.5,1.0
2021-01-16,8:00 PM,Columbus Blue Jackets,2,Nashville Predators,5,,Nashville Predators,Columbus Blue Jackets,1.0,0.0
2021-01-16,7:00 PM,New York Islanders,0,New York Rangers,5,,New York Rangers,New York Islanders,0.0,1.0
2021-01-16,7:00 PM,Toronto Maple Leafs,3,Ottawa Senators,2,,Toronto Maple Leafs,Ottawa Senators,1.0,0.5
2021-01-16,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,2,OT,Vegas Golden Knights,Anaheim Ducks,1.0,0.0
2021-01-17,7:00 PM,Chicago Blackhawks,2,Florida Panthers,5,,Florida Panthers,Chicago Blackhawks,0.0,0.0
2021-01-17,12:00 PM,Washington Capitals,3,Pittsburgh Penguins,4,SO,Pittsburgh Penguins,Washington Capitals,0.0,1.0
2021-01-18,9:00 PM,Minnesota Wild,0,Anaheim Ducks,1,,Anaheim Ducks,Minnesota Wild,0.25,1.0
2021-01-18,9:00 PM,Vancouver Canucks,2,Calgary Flames,5,,Calgary Flames,Vancouver Canucks,0.75,0.3333333333333333
2021-01-18,12:00 PM,Columbus Blue Jackets,3,Detroit Red Wings,2,,Columbus Blue Jackets,Detroit Red Wings,0.5,0.0
2021-01-18,9:00 PM,Montreal Canadiens,3,Edmonton Oilers,1,,Montreal Canadiens,Edmonton Oilers,0.3333333333333333,0.75
2021-01-18,8:00 PM,Carolina Hurricanes,4,Nashville Predators,2,,Carolina Hurricanes,Nashville Predators,1.0,0.5
2021-01-18,5:00 PM,Boston Bruins,0,New York Islanders,1,,New York Islanders,Boston Bruins,0.5,0.75
2021-01-18,7:30 PM,Buffalo Sabres,6,Philadelphia Flyers,1,,Buffalo Sabres,Philadelphia Flyers,1.0,0.0
2021-01-18,8:00 PM,San Jose Sharks,4,St. Louis Blues,5,,St. Louis Blues,San Jose Sharks,0.5,0.5
2021-01-18,7:00 PM,Winnipeg Jets,1,Toronto Maple Leafs,3,,Toronto Maple Leafs,Winnipeg Jets,0.6666666666666666,1.0
