Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2016-01-23,9:00 PM,Los Angeles Kings,2,Arizona Coyotes,3,,Arizona Coyotes,Los Angeles Kings,0.5,0.6833333333333333
2016-01-23,7:00 PM,Columbus Blue Jackets,2,Boston Bruins,3,SO,Boston Bruins,Columbus Blue Jackets,0.6,0.43333333333333335
2016-01-23,8:00 PM,Colorado Avalanche,3,Dallas Stars,1,,Colorado Avalanche,Dallas Stars,0.6166666666666667,0.6333333333333333
2016-01-23,7:00 PM,Anaheim Ducks,4,Detroit Red Wings,3,,Anaheim Ducks,Detroit Red Wings,0.65,0.5666666666666667
2016-01-23,10:00 PM,Nashville Predators,4,Edmonton Oilers,1,,Nashville Predators,Edmonton Oilers,0.5,0.4166666666666667
2016-01-23,7:00 PM,Tampa Bay Lightning,2,Florida Panthers,5,,Florida Panthers,Tampa Bay Lightning,0.7,0.6666666666666666
2016-01-23,12:30 PM,Vancouver Canucks,4,Pittsburgh Penguins,5,,Pittsburgh Penguins,Vancouver Canucks,0.5166666666666667,0.5333333333333333
2016-01-23,4:00 PM,Minnesota Wild,3,San Jose Sharks,4,,San Jose Sharks,Minnesota Wild,0.6166666666666667,0.5166666666666667
2016-01-23,7:00 PM,Montreal Canadiens,3,Toronto Maple Leafs,2,SO,Montreal Canadiens,Toronto Maple Leafs,0.5333333333333333,0.36666666666666664
2016-01-23,7:00 PM,New Jersey Devils,3,Winnipeg Jets,1,,New Jersey Devils,Winnipeg Jets,0.45,0.5333333333333333
2016-01-24,6:00 PM,Calgary Flames,2,Carolina Hurricanes,5,,Carolina Hurricanes,Calgary Flames,0.5833333333333334,0.5666666666666667
2016-01-24,7:00 PM,St. Louis Blues,0,Chicago Blackhawks,2,,Chicago Blackhawks,St. Louis Blues,0.7333333333333333,0.6
2016-01-24,3:00 PM,New York Rangers,0,Ottawa Senators,3,,Ottawa Senators,New York Rangers,0.48333333333333334,0.48333333333333334
2016-01-24,10:00 PM,Los Angeles Kings,3,San Jose Sharks,2,OT,Los Angeles Kings,San Jose Sharks,0.6166666666666667,0.65
2016-01-25,7:00 PM,Montreal Canadiens,2,Columbus Blue Jackets,5,,Columbus Blue Jackets,Montreal Canadiens,0.4166666666666667,0.4
2016-01-25,8:30 PM,Calgary Flames,1,Dallas Stars,2,,Dallas Stars,Calgary Flames,0.5833333333333334,0.5666666666666667
2016-01-25,8:30 PM,Arizona Coyotes,2,Minnesota Wild,1,SO,Arizona Coyotes,Minnesota Wild,0.5166666666666667,0.5333333333333333
2016-01-25,7:00 PM,Detroit Red Wings,4,New York Islanders,2,,Detroit Red Wings,New York Islanders,0.6166666666666667,0.6166666666666667
2016-01-25,7:30 PM,Buffalo Sabres,3,New York Rangers,6,,New York Rangers,Buffalo Sabres,0.45,0.4166666666666667
2016-01-25,7:00 PM,Boston Bruins,3,Philadelphia Flyers,2,,Boston Bruins,Philadelphia Flyers,0.5833333333333334,0.6333333333333333
2016-01-26,7:00 PM,Anaheim Ducks,6,Boston Bruins,2,,Anaheim Ducks,Boston Bruins,0.6333333333333333,0.5833333333333334
2016-01-26,7:30 PM,Chicago Blackhawks,0,Carolina Hurricanes,5,,Carolina Hurricanes,Chicago Blackhawks,0.5833333333333334,0.7333333333333333
2016-01-26,7:30 PM,Toronto Maple Leafs,1,Florida Panthers,5,,Florida Panthers,Toronto Maple Leafs,0.7,0.5166666666666667
2016-01-26,7:30 PM,Columbus Blue Jackets,5,Montreal Canadiens,2,,Columbus Blue Jackets,Montreal Canadiens,0.36666666666666664,0.45
2016-01-26,7:30 PM,Buffalo Sabres,3,Ottawa Senators,2,,Buffalo Sabres,Ottawa Senators,0.48333333333333334,0.4
2016-01-26,7:00 PM,New Jersey Devils,0,Pittsburgh Penguins,2,,Pittsburgh Penguins,New Jersey Devils,0.55,0.5666666666666667
2016-01-26,10:00 PM,Colorado Avalanche,1,San Jose Sharks,6,,San Jose Sharks,Colorado Avalanche,0.6,0.6666666666666666
2016-01-26,10:00 PM,Nashville Predators,2,Vancouver Canucks,1,,Nashville Predators,Vancouver Canucks,0.5166666666666667,0.45
2016-01-26,8:00 PM,Arizona Coyotes,2,Winnipeg Jets,5,,Winnipeg Jets,Arizona Coyotes,0.45,0.5666666666666667
