Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2022-10-07,2:00 PM,San Jose Sharks,1,Nashville Predators,4,,Nashville Predators,San Jose Sharks,0.0,0.0
2022-10-08,2:00 PM,Nashville Predators,3,San Jose Sharks,2,,Nashville Predators,San Jose Sharks,0.0,1.0
2022-10-11,10:00 PM,Vegas Golden Knights,4,Los Angeles Kings,3,,Vegas Golden Knights,Los Angeles Kings,0.0,0.0
2022-10-11,7:30 PM,Tampa Bay Lightning,1,New York Rangers,3,,New York Rangers,Tampa Bay Lightning,0.0,0.0
2022-10-12,10:00 PM,Seattle Kraken,4,Anaheim Ducks,5,OT,Anaheim Ducks,Seattle Kraken,0.0,0.0
2022-10-12,7:00 PM,Columbus Blue Jackets,1,Carolina Hurricanes,4,,Carolina Hurricanes,Columbus Blue Jackets,0.0,0.0
2022-10-12,9:30 PM,Chicago Blackhawks,2,Colorado Avalanche,5,,Colorado Avalanche,Chicago Blackhawks,0.0,0.0
2022-10-12,10:00 PM,Vancouver Canucks,3,Edmonton Oilers,5,,Edmonton Oilers,Vancouver Canucks,0.0,0.0
2022-10-12,7:00 PM,Toronto Maple Leafs,3,Montreal Canadiens,4,,Montreal Canadiens,Toronto Maple Leafs,0.0,0.0
2022-10-12,7:00 PM,Boston Bruins,5,Washington Capitals,2,,Boston Bruins,Washington Capitals,0.0,0.0
2022-10-13,7:00 PM,Ottawa Senators,1,Buffalo Sabres,4,,Buffalo Sabres,Ottawa Senators,0.0,0.0
2022-10-13,9:30 PM,Colorado Avalanche,3,Calgary Flames,5,,Calgary Flames,Colorado Avalanche,0.0,1.0
2022-10-13,10:30 PM,Seattle Kraken,4,Los Angeles Kings,1,,Seattle Kraken,Los Angeles Kings,0.0,0.5
2022-10-13,8:00 PM,New York Rangers,7,Minnesota Wild,3,,New York Rangers,Minnesota Wild,0.0,1.0
2022-10-13,8:30 PM,Dallas Stars,4,Nashville Predators,1,,Dallas Stars,Nashville Predators,1.0,0.0
2022-10-13,7:30 PM,Florida Panthers,3,New York Islanders,1,,Florida Panthers,New York Islanders,0.0,0.0
2022-10-13,7:00 PM,New Jersey Devils,2,Philadelphia Flyers,5,,Philadelphia Flyers,New Jersey Devils,0.0,0.0
2022-10-13,7:00 PM,Arizona Coyotes,2,Pittsburgh Penguins,6,,Pittsburgh Penguins,Arizona Coyotes,0.0,0.0
2022-10-13,7:30 PM,Washington Capitals,2,Toronto Maple Leafs,3,,Toronto Maple Leafs,Washington Capitals,0.0,0.0
2022-10-13,10:00 PM,Chicago Blackhawks,0,Vegas Golden Knights,1,,Vegas Golden Knights,Chicago Blackhawks,1.0,0.0
2022-10-14,7:00 PM,Tampa Bay Lightning,5,Columbus Blue Jackets,2,,Tampa Bay Lightning,Columbus Blue Jackets,0.0,0.0
2022-10-14,7:00 PM,Montreal Canadiens,0,Detroit Red Wings,3,,Detroit Red Wings,Montreal Canadiens,0.0,1.0
2022-10-14,10:30 PM,Carolina Hurricanes,2,San Jose Sharks,1,,Carolina Hurricanes,San Jose Sharks,0.0,1.0
2022-10-14,8:00 PM,New York Rangers,1,Winnipeg Jets,4,,Winnipeg Jets,New York Rangers,0.0,1.0
2022-10-15,7:00 PM,Arizona Coyotes,3,Boston Bruins,6,,Boston Bruins,Arizona Coyotes,1.0,0.0
2022-10-15,1:00 PM,Florida Panthers,4,Buffalo Sabres,3,,Florida Panthers,Buffalo Sabres,1.0,1.0
2022-10-15,8:00 PM,Nashville Predators,1,Dallas Stars,5,,Dallas Stars,Nashville Predators,1.0,0.6666666666666666
2022-10-15,10:00 PM,Calgary Flames,4,Edmonton Oilers,3,,Calgary Flames,Edmonton Oilers,1.0,1.0
2022-10-15,8:00 PM,Los Angeles Kings,7,Minnesota Wild,6,,Los Angeles Kings,Minnesota Wild,0.0,0.0
2022-10-15,7:00 PM,Detroit Red Wings,5,New Jersey Devils,2,,Detroit Red Wings,New Jersey Devils,0.0,1.0
2022-10-15,7:30 PM,Anaheim Ducks,1,New York Islanders,7,,New York Islanders,Anaheim Ducks,0.0,1.0
2022-10-15,4:00 PM,Vancouver Canucks,2,Philadelphia Flyers,3,,Philadelphia Flyers,Vancouver Canucks,1.0,0.0
2022-10-15,7:00 PM,Tampa Bay Lightning,2,Pittsburgh Penguins,6,,Pittsburgh Penguins,Tampa Bay Lightning,1.0,0.5
2022-10-15,10:00 PM,Vegas Golden Knights,5,Seattle Kraken,2,,Vegas Golden Knights,Seattle Kraken,0.75,1.0
2022-10-15,10:00 PM,Chicago Blackhawks,5,San Jose Sharks,2,,Chicago Blackhawks,San Jose Sharks,0.0,0.0
2022-10-15,8:00 PM,Columbus Blue Jackets,2,St. Louis Blues,5,,St. Louis Blues,Columbus Blue Jackets,0.0,0.0
2022-10-15,7:00 PM,Ottawa Senators,2,Toronto Maple Leafs,3,,Toronto Maple Leafs,Ottawa Senators,0.5,0.0
2022-10-15,7:00 PM,Montreal Canadiens,1,Washington Capitals,3,,Washington Capitals,Montreal Canadiens,0.0,0.5
2022-10-17,7:00 PM,Florida Panthers,3,Boston Bruins,5,,Boston Bruins,Florida Panthers,1.0,1.0
2022-10-17,8:30 PM,Winnipeg Jets,1,Dallas Stars,4,,Dallas Stars,Winnipeg Jets,1.0,1.0
2022-10-17,7:00 PM,Los Angeles Kings,5,Detroit Red Wings,4,OT,Los Angeles Kings,Detroit Red Wings,1.0,0.3333333333333333
2022-10-17,8:00 PM,Colorado Avalanche,6,Minnesota Wild,3,,Colorado Avalanche,Minnesota Wild,0.0,0.5
2022-10-17,7:00 PM,Pittsburgh Penguins,2,Montreal Canadiens,3,OT,Montreal Canadiens,Pittsburgh Penguins,0.3333333333333333,1.0
2022-10-17,7:00 PM,Anaheim Ducks,4,New York Rangers,6,,New York Rangers,Anaheim Ducks,0.6666666666666666,0.5
2022-10-17,10:00 PM,Carolina Hurricanes,5,Seattle Kraken,1,,Carolina Hurricanes,Seattle Kraken,0.5,1.0
2022-10-17,7:00 PM,Arizona Coyotes,4,Toronto Maple Leafs,2,,Arizona Coyotes,Toronto Maple Leafs,0.6666666666666666,0.0
2022-10-17,7:00 PM,Vancouver Canucks,4,Washington Capitals,6,,Washington Capitals,Vancouver Canucks,0.3333333333333333,0.0
2022-10-18,7:00 PM,Vancouver Canucks,3,Columbus Blue Jackets,4,OT,Columbus Blue Jackets,Vancouver Canucks,0.0,0.0
2022-10-18,9:00 PM,Vegas Golden Knights,2,Calgary Flames,3,,Calgary Flames,Vegas Golden Knights,1.0,1.0
2022-10-18,9:00 PM,Buffalo Sabres,4,Edmonton Oilers,2,,Buffalo Sabres,Edmonton Oilers,0.5,0.5
2022-10-18,7:00 PM,Anaheim Ducks,2,New Jersey Devils,4,,New Jersey Devils,Anaheim Ducks,0.0,0.3333333333333333
2022-10-18,9:30 PM,Los Angeles Kings,4,Nashville Predators,3,SO,Los Angeles Kings,Nashville Predators,0.5,0.5
2022-10-18,7:30 PM,San Jose Sharks,2,New York Islanders,5,,New York Islanders,San Jose Sharks,0.5,0.0
2022-10-18,7:00 PM,Boston Bruins,5,Ottawa Senators,7,,Ottawa Senators,Boston Bruins,0.0,1.0
2022-10-18,7:00 PM,Philadelphia Flyers,3,Tampa Bay Lightning,2,,Philadelphia Flyers,Tampa Bay Lightning,0.3333333333333333,1.0
2022-10-19,8:00 PM,Winnipeg Jets,4,Colorado Avalanche,3,OT,Winnipeg Jets,Colorado Avalanche,0.6666666666666666,0.5
2022-10-19,7:30 PM,Philadelphia Flyers,3,Florida Panthers,4,,Florida Panthers,Philadelphia Flyers,0.6666666666666666,1.0
2022-10-19,10:00 PM,St. Louis Blues,4,Seattle Kraken,3,OT,St. Louis Blues,Seattle Kraken,0.375,1.0
2022-10-20,7:00 PM,Anaheim Ducks,1,Boston Bruins,2,SO,Boston Bruins,Anaheim Ducks,0.75,0.25
2022-10-20,7:00 PM,Nashville Predators,3,Columbus Blue Jackets,5,,Columbus Blue Jackets,Nashville Predators,0.25,0.5
2022-10-20,9:30 PM,Buffalo Sabres,6,Calgary Flames,3,,Buffalo Sabres,Calgary Flames,1.0,0.6666666666666666
2022-10-20,9:00 PM,Carolina Hurricanes,4,Edmonton Oilers,6,,Edmonton Oilers,Carolina Hurricanes,0.3333333333333333,1.0
2022-10-20,8:00 PM,Vancouver Canucks,3,Minnesota Wild,4,OT,Minnesota Wild,Vancouver Canucks,0.0,0.125
2022-10-20,7:00 PM,Arizona Coyotes,2,Montreal Canadiens,6,,Montreal Canadiens,Arizona Coyotes,0.5,0.3333333333333333
2022-10-20,7:30 PM,New Jersey Devils,4,New York Islanders,1,,New Jersey Devils,New York Islanders,0.6666666666666666,0.3333333333333333
2022-10-20,7:00 PM,San Jose Sharks,3,New York Rangers,2,OT,San Jose Sharks,New York Rangers,0.75,0.0
2022-10-20,7:00 PM,Washington Capitals,2,Ottawa Senators,5,,Ottawa Senators,Washington Capitals,0.3333333333333333,0.5
2022-10-20,7:00 PM,Los Angeles Kings,1,Pittsburgh Penguins,6,,Pittsburgh Penguins,Los Angeles Kings,0.8333333333333334,0.6
2022-10-20,7:00 PM,Dallas Stars,2,Toronto Maple Leafs,3,OT,Toronto Maple Leafs,Dallas Stars,0.5,1.0
2022-10-20,10:00 PM,Winnipeg Jets,2,Vegas Golden Knights,5,,Vegas Golden Knights,Winnipeg Jets,0.75,0.6666666666666666
2022-10-21,8:30 PM,Detroit Red Wings,3,Chicago Blackhawks,4,OT,Chicago Blackhawks,Detroit Red Wings,0.3333333333333333,0.8333333333333334
2022-10-21,9:00 PM,Seattle Kraken,3,Colorado Avalanche,2,,Seattle Kraken,Colorado Avalanche,0.625,0.4
2022-10-21,7:30 PM,Tampa Bay Lightning,3,Florida Panthers,2,OT,Tampa Bay Lightning,Florida Panthers,0.75,0.25
2022-10-22,1:00 PM,Minnesota Wild,3,Boston Bruins,4,OT,Boston Bruins,Minnesota Wild,0.8,0.25
2022-10-22,7:00 PM,Pittsburgh Penguins,6,Columbus Blue Jackets,3,,Pittsburgh Penguins,Columbus Blue Jackets,0.4,0.875
2022-10-22,10:00 PM,Carolina Hurricanes,2,Calgary Flames,3,OT,Calgary Flames,Carolina Hurricanes,0.75,0.75
2022-10-22,4:00 PM,St. Louis Blues,2,Edmonton Oilers,0,,St. Louis Blues,Edmonton Oilers,0.5,1.0
2022-10-22,7:00 PM,Dallas Stars,5,Montreal Canadiens,2,,Dallas Stars,Montreal Canadiens,0.6,0.875
2022-10-22,1:00 PM,San Jose Sharks,1,New Jersey Devils,2,,New Jersey Devils,San Jose Sharks,0.5,0.16666666666666666
2022-10-22,8:00 PM,Philadelphia Flyers,3,Nashville Predators,1,,Philadelphia Flyers,Nashville Predators,0.4166666666666667,0.75
2022-10-22,4:00 PM,Arizona Coyotes,2,Ottawa Senators,6,,Ottawa Senators,Arizona Coyotes,0.5,0.25
2022-10-22,7:00 PM,New York Islanders,3,Tampa Bay Lightning,5,,Tampa Bay Lightning,New York Islanders,0.4,0.5
2022-10-22,10:00 PM,Buffalo Sabres,5,Vancouver Canucks,1,,Buffalo Sabres,Vancouver Canucks,0.2,0.75
2022-10-22,10:00 PM,Colorado Avalanche,3,Vegas Golden Knights,2,,Colorado Avalanche,Vegas Golden Knights,0.8,0.5
2022-10-22,7:00 PM,Toronto Maple Leafs,4,Winnipeg Jets,1,,Toronto Maple Leafs,Winnipeg Jets,0.5,0.6
2022-10-22,7:00 PM,Los Angeles Kings,3,Washington Capitals,4,,Washington Capitals,Los Angeles Kings,0.4,0.5
2022-10-23,2:00 PM,Seattle Kraken,4,Chicago Blackhawks,5,,Chicago Blackhawks,Seattle Kraken,0.5,0.5
2022-10-23,5:00 PM,Anaheim Ducks,1,Detroit Red Wings,5,,Detroit Red Wings,Anaheim Ducks,0.75,0.3
2022-10-23,5:00 PM,New York Islanders,2,Florida Panthers,3,,Florida Panthers,New York Islanders,0.7,0.4
2022-10-23,5:00 PM,Columbus Blue Jackets,5,New York Rangers,1,,Columbus Blue Jackets,New York Rangers,0.7,0.3333333333333333
2022-10-23,7:00 PM,San Jose Sharks,3,Philadelphia Flyers,0,,San Jose Sharks,Philadelphia Flyers,0.8,0.14285714285714285
2022-10-24,8:00 PM,Pittsburgh Penguins,3,Edmonton Oilers,6,,Edmonton Oilers,Pittsburgh Penguins,0.4,0.9
2022-10-24,7:00 PM,Washington Capitals,6,New Jersey Devils,3,,Washington Capitals,New Jersey Devils,0.6,0.5
2022-10-24,7:00 PM,Dallas Stars,2,Ottawa Senators,4,,Ottawa Senators,Dallas Stars,0.6,0.9
2022-10-24,10:30 PM,Carolina Hurricanes,3,Vancouver Canucks,2,,Carolina Hurricanes,Vancouver Canucks,0.16666666666666666,0.7
2022-10-24,10:00 PM,Toronto Maple Leafs,1,Vegas Golden Knights,3,,Vegas Golden Knights,Toronto Maple Leafs,0.6666666666666666,0.6666666666666666
2022-10-24,8:00 PM,St. Louis Blues,0,Winnipeg Jets,4,,Winnipeg Jets,St. Louis Blues,0.4,1.0
2022-10-25,7:00 PM,Dallas Stars,1,Boston Bruins,3,,Boston Bruins,Dallas Stars,0.8333333333333334,0.75
2022-10-25,7:00 PM,Arizona Coyotes,6,Columbus Blue Jackets,3,,Arizona Coyotes,Columbus Blue Jackets,0.42857142857142855,0.2
2022-10-25,9:00 PM,Pittsburgh Penguins,1,Calgary Flames,4,,Calgary Flames,Pittsburgh Penguins,0.8,0.75
2022-10-25,8:30 PM,Florida Panthers,2,Chicago Blackhawks,4,,Chicago Blackhawks,Florida Panthers,0.6,0.75
2022-10-25,7:00 PM,New Jersey Devils,6,Detroit Red Wings,2,,New Jersey Devils,Detroit Red Wings,0.8,0.5
2022-10-25,10:30 PM,Tampa Bay Lightning,2,Los Angeles Kings,4,,Los Angeles Kings,Tampa Bay Lightning,0.42857142857142855,0.5
2022-10-25,7:00 PM,Minnesota Wild,3,Montreal Canadiens,1,,Minnesota Wild,Montreal Canadiens,0.5,0.3
2022-10-25,8:00 PM,Colorado Avalanche,3,New York Rangers,2,SO,Colorado Avalanche,New York Rangers,0.5833333333333334,0.5833333333333334
2022-10-25,10:00 PM,Buffalo Sabres,1,Seattle Kraken,5,,Seattle Kraken,Buffalo Sabres,0.42857142857142855,0.8
2022-10-25,10:30 PM,Vegas Golden Knights,4,San Jose Sharks,2,,Vegas Golden Knights,San Jose Sharks,0.25,0.7142857142857143
2022-10-26,10:00 PM,Tampa Bay Lightning,4,Anaheim Ducks,2,,Tampa Bay Lightning,Anaheim Ducks,0.25,0.42857142857142855
2022-10-26,7:30 PM,New York Rangers,0,New York Islanders,3,,New York Islanders,New York Rangers,0.3333333333333333,0.5714285714285714
2022-10-26,8:00 PM,Edmonton Oilers,3,St. Louis Blues,1,,Edmonton Oilers,St. Louis Blues,0.75,0.5
2022-10-27,7:00 PM,Detroit Red Wings,1,Boston Bruins,5,,Boston Bruins,Detroit Red Wings,0.8571428571428571,0.6666666666666666
2022-10-27,7:00 PM,Montreal Canadiens,3,Buffalo Sabres,2,,Montreal Canadiens,Buffalo Sabres,0.6666666666666666,0.42857142857142855
2022-10-27,8:30 PM,Edmonton Oilers,6,Chicago Blackhawks,5,,Edmonton Oilers,Chicago Blackhawks,0.6666666666666666,0.5714285714285714
2022-10-27,8:30 PM,Washington Capitals,0,Dallas Stars,2,,Dallas Stars,Washington Capitals,0.6428571428571429,0.5714285714285714
2022-10-27,10:30 PM,Winnipeg Jets,6,Los Angeles Kings,4,,Winnipeg Jets,Los Angeles Kings,0.5,0.5
2022-10-27,8:00 PM,St. Louis Blues,2,Nashville Predators,6,,Nashville Predators,St. Louis Blues,0.35714285714285715,0.6
2022-10-27,7:00 PM,Minnesota Wild,4,Ottawa Senators,2,,Minnesota Wild,Ottawa Senators,0.6666666666666666,0.4166666666666667
2022-10-27,7:00 PM,Florida Panthers,3,Philadelphia Flyers,4,,Philadelphia Flyers,Florida Panthers,0.6666666666666666,0.6428571428571429
2022-10-27,10:00 PM,Vancouver Canucks,5,Seattle Kraken,4,,Vancouver Canucks,Seattle Kraken,0.5,0.14285714285714285
2022-10-27,10:30 PM,Toronto Maple Leafs,3,San Jose Sharks,4,OT,San Jose Sharks,Toronto Maple Leafs,0.2222222222222222,0.5714285714285714
2022-10-28,10:30 PM,Winnipeg Jets,3,Arizona Coyotes,2,OT,Winnipeg Jets,Arizona Coyotes,0.3333333333333333,0.5714285714285714
2022-10-28,7:00 PM,New York Islanders,6,Carolina Hurricanes,2,,New York Islanders,Carolina Hurricanes,0.75,0.42857142857142855
2022-10-28,7:00 PM,Boston Bruins,4,Columbus Blue Jackets,0,,Boston Bruins,Columbus Blue Jackets,0.375,0.875
2022-10-28,7:00 PM,Colorado Avalanche,0,New Jersey Devils,1,,New Jersey Devils,Colorado Avalanche,0.5714285714285714,0.6428571428571429
2022-10-28,10:00 PM,Pittsburgh Penguins,1,Vancouver Canucks,5,,Vancouver Canucks,Pittsburgh Penguins,0.25,0.6428571428571429
2022-10-28,6:00 PM,Anaheim Ducks,0,Vegas Golden Knights,4,,Vegas Golden Knights,Anaheim Ducks,0.75,0.21428571428571427
2022-10-29,7:00 PM,Chicago Blackhawks,3,Buffalo Sabres,4,OT,Buffalo Sabres,Chicago Blackhawks,0.5714285714285714,0.5714285714285714
2022-10-29,10:00 PM,Edmonton Oilers,3,Calgary Flames,2,,Edmonton Oilers,Calgary Flames,0.8333333333333334,0.625
2022-10-29,2:00 PM,New York Rangers,6,Dallas Stars,3,,New York Rangers,Dallas Stars,0.6875,0.5
2022-10-29,7:00 PM,Minnesota Wild,1,Detroit Red Wings,2,,Detroit Red Wings,Minnesota Wild,0.5714285714285714,0.5
2022-10-29,4:00 PM,Ottawa Senators,3,Florida Panthers,5,,Florida Panthers,Ottawa Senators,0.5625,0.5714285714285714
2022-10-29,7:00 PM,Toronto Maple Leafs,2,Los Angeles Kings,4,,Los Angeles Kings,Toronto Maple Leafs,0.4444444444444444,0.5625
2022-10-29,8:00 PM,Washington Capitals,3,Nashville Predators,0,,Washington Capitals,Nashville Predators,0.4375,0.5
2022-10-29,7:30 PM,Colorado Avalanche,4,New York Islanders,5,,New York Islanders,Colorado Avalanche,0.5,0.5625
2022-10-29,7:00 PM,Carolina Hurricanes,4,Philadelphia Flyers,3,OT,Carolina Hurricanes,Philadelphia Flyers,0.7142857142857143,0.6428571428571429
2022-10-29,10:00 PM,Pittsburgh Penguins,1,Seattle Kraken,3,,Seattle Kraken,Pittsburgh Penguins,0.4444444444444444,0.5625
2022-10-29,4:30 PM,Tampa Bay Lightning,4,San Jose Sharks,3,,Tampa Bay Lightning,San Jose Sharks,0.3,0.5
