Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2017-10-07,7:00 PM,Tampa Bay Lightning,4,Florida Panthers,5,,Florida Panthers,Tampa Bay Lightning,0.0,1.0
2017-10-07,2:00 PM,Colorado Avalanche,1,New Jersey Devils,4,,New Jersey Devils,Colorado Avalanche,0.0,1.0
2017-10-07,7:00 PM,Buffalo Sabres,3,New York Islanders,6,,New York Islanders,Buffalo Sabres,0.0,0.5
2017-10-07,7:00 PM,Detroit Red Wings,2,Ottawa Senators,1,SO,Detroit Red Wings,Ottawa Senators,0.5,1.0
2017-10-07,7:00 PM,Nashville Predators,0,Pittsburgh Penguins,4,,Pittsburgh Penguins,Nashville Predators,0.25,0.0
2017-10-07,10:30 PM,Los Angeles Kings,4,San Jose Sharks,1,,Los Angeles Kings,San Jose Sharks,0.0,1.0
2017-10-07,8:00 PM,Dallas Stars,2,St. Louis Blues,4,,St. Louis Blues,Dallas Stars,1.0,0.0
2017-10-07,7:00 PM,New York Rangers,5,Toronto Maple Leafs,8,,Toronto Maple Leafs,New York Rangers,1.0,0.0
2017-10-07,10:00 PM,Edmonton Oilers,2,Vancouver Canucks,3,,Vancouver Canucks,Edmonton Oilers,0.0,1.0
2017-10-07,7:00 PM,Montreal Canadiens,1,Washington Capitals,6,,Washington Capitals,Montreal Canadiens,1.0,1.0
2017-10-08,7:00 PM,Montreal Canadiens,0,New York Rangers,2,,New York Rangers,Montreal Canadiens,0.0,0.5
2017-10-09,10:00 PM,Calgary Flames,2,Anaheim Ducks,0,,Calgary Flames,Anaheim Ducks,0.75,0.5
2017-10-09,1:00 PM,Colorado Avalanche,4,Boston Bruins,0,,Colorado Avalanche,Boston Bruins,1.0,0.5
2017-10-09,3:00 PM,New Jersey Devils,6,Buffalo Sabres,2,,New Jersey Devils,Buffalo Sabres,0.25,1.0
2017-10-09,9:00 PM,Winnipeg Jets,5,Edmonton Oilers,2,,Winnipeg Jets,Edmonton Oilers,0.5,0.0
2017-10-09,1:00 PM,St. Louis Blues,3,New York Islanders,2,SO,St. Louis Blues,New York Islanders,0.5,1.0
2017-10-09,7:30 PM,Washington Capitals,3,Tampa Bay Lightning,4,OT,Tampa Bay Lightning,Washington Capitals,0.5,1.0
2017-10-09,7:00 PM,Chicago Blackhawks,3,Toronto Maple Leafs,4,OT,Toronto Maple Leafs,Chicago Blackhawks,1.0,1.0
2017-10-10,7:00 PM,Columbus Blue Jackets,2,Carolina Hurricanes,1,OT,Columbus Blue Jackets,Carolina Hurricanes,1.0,0.5
2017-10-10,8:30 PM,Detroit Red Wings,2,Dallas Stars,4,,Dallas Stars,Detroit Red Wings,0.0,1.0
2017-10-10,7:30 PM,Chicago Blackhawks,3,Montreal Canadiens,1,,Chicago Blackhawks,Montreal Canadiens,0.3333333333333333,0.8333333333333334
2017-10-10,8:00 PM,Philadelphia Flyers,5,Nashville Predators,6,,Nashville Predators,Philadelphia Flyers,0.0,0.6666666666666666
2017-10-10,7:00 PM,St. Louis Blues,3,New York Rangers,1,,St. Louis Blues,New York Rangers,0.3333333333333333,1.0
2017-10-10,10:00 PM,Ottawa Senators,3,Vancouver Canucks,2,SO,Ottawa Senators,Vancouver Canucks,1.0,0.5
2017-10-10,10:00 PM,Arizona Coyotes,2,Vegas Golden Knights,5,,Vegas Golden Knights,Arizona Coyotes,1.0,0.25
2017-10-11,10:00 PM,New York Islanders,2,Anaheim Ducks,3,,Anaheim Ducks,New York Islanders,0.5,0.5
2017-10-11,9:30 PM,Boston Bruins,3,Colorado Avalanche,6,,Colorado Avalanche,Boston Bruins,0.6666666666666666,0.5
2017-10-11,10:30 PM,Calgary Flames,4,Los Angeles Kings,3,OT,Calgary Flames,Los Angeles Kings,1.0,0.6666666666666666
2017-10-11,7:30 PM,New Jersey Devils,6,Toronto Maple Leafs,3,,New Jersey Devils,Toronto Maple Leafs,1.0,1.0
2017-10-11,7:30 PM,Pittsburgh Penguins,3,Washington Capitals,2,,Pittsburgh Penguins,Washington Capitals,0.8333333333333334,0.5
2017-10-12,10:00 PM,Detroit Red Wings,4,Arizona Coyotes,2,,Detroit Red Wings,Arizona Coyotes,0.16666666666666666,0.6666666666666666
2017-10-12,8:30 PM,Minnesota Wild,5,Chicago Blackhawks,2,,Minnesota Wild,Chicago Blackhawks,0.875,0.25
2017-10-12,7:30 PM,St. Louis Blues,2,Florida Panthers,5,,Florida Panthers,St. Louis Blues,0.5,1.0
2017-10-12,8:00 PM,Dallas Stars,1,Nashville Predators,4,,Nashville Predators,Dallas Stars,0.3333333333333333,0.3333333333333333
2017-10-12,10:30 PM,Buffalo Sabres,2,San Jose Sharks,3,,San Jose Sharks,Buffalo Sabres,0.0,0.16666666666666666
2017-10-12,7:30 PM,Pittsburgh Penguins,4,Tampa Bay Lightning,5,,Tampa Bay Lightning,Pittsburgh Penguins,0.6666666666666666,0.625
2017-10-12,10:00 PM,Winnipeg Jets,4,Vancouver Canucks,2,,Winnipeg Jets,Vancouver Canucks,0.75,0.3333333333333333
2017-10-13,7:00 PM,New York Rangers,1,Columbus Blue Jackets,3,,Columbus Blue Jackets,New York Rangers,0.6666666666666666,0.25
2017-10-13,9:00 PM,Ottawa Senators,6,Calgary Flames,0,,Ottawa Senators,Calgary Flames,0.75,0.6666666666666666
2017-10-13,9:00 PM,Anaheim Ducks,1,Colorado Avalanche,3,,Colorado Avalanche,Anaheim Ducks,0.75,0.625
2017-10-13,7:00 PM,Washington Capitals,5,New Jersey Devils,2,,Washington Capitals,New Jersey Devils,1.0,0.625
2017-10-13,10:30 PM,Detroit Red Wings,6,Vegas Golden Knights,3,,Detroit Red Wings,Vegas Golden Knights,1.0,0.75
2017-10-14,9:00 PM,Boston Bruins,6,Arizona Coyotes,2,,Boston Bruins,Arizona Coyotes,0.125,0.3333333333333333
2017-10-14,8:30 PM,Nashville Predators,1,Chicago Blackhawks,2,OT,Chicago Blackhawks,Nashville Predators,0.7,0.5
2017-10-14,8:00 PM,Colorado Avalanche,1,Dallas Stars,3,,Dallas Stars,Colorado Avalanche,0.25,0.8
2017-10-14,10:00 PM,Ottawa Senators,6,Edmonton Oilers,1,,Ottawa Senators,Edmonton Oilers,0.3333333333333333,0.75
2017-10-14,10:30 PM,Buffalo Sabres,2,Los Angeles Kings,4,,Los Angeles Kings,Buffalo Sabres,0.8333333333333334,0.125
2017-10-14,8:00 PM,Columbus Blue Jackets,5,Minnesota Wild,4,OT,Columbus Blue Jackets,Minnesota Wild,0.5,0.75
2017-10-14,7:00 PM,Toronto Maple Leafs,4,Montreal Canadiens,3,OT,Toronto Maple Leafs,Montreal Canadiens,0.25,0.75
2017-10-14,7:00 PM,New Jersey Devils,3,New York Rangers,2,,New Jersey Devils,New York Rangers,0.2,0.75
2017-10-14,7:00 PM,Washington Capitals,2,Philadelphia Flyers,8,,Philadelphia Flyers,Washington Capitals,0.5,0.7
2017-10-14,7:00 PM,Florida Panthers,3,Pittsburgh Penguins,4,,Pittsburgh Penguins,Florida Panthers,0.5,0.6666666666666666
2017-10-14,10:30 PM,New York Islanders,3,San Jose Sharks,1,,New York Islanders,San Jose Sharks,0.3333333333333333,0.375
2017-10-14,7:00 PM,St. Louis Blues,1,Tampa Bay Lightning,2,,Tampa Bay Lightning,St. Louis Blues,0.75,0.8
2017-10-14,10:00 PM,Calgary Flames,5,Vancouver Canucks,2,,Calgary Flames,Vancouver Canucks,0.5,0.6
2017-10-14,7:00 PM,Carolina Hurricanes,1,Winnipeg Jets,2,,Winnipeg Jets,Carolina Hurricanes,0.5,0.75
2017-10-15,9:00 PM,Buffalo Sabres,3,Anaheim Ducks,1,,Buffalo Sabres,Anaheim Ducks,0.5,0.1
2017-10-15,10:30 PM,New York Islanders,2,Los Angeles Kings,3,,Los Angeles Kings,New York Islanders,0.875,0.5
2017-10-15,7:00 PM,Boston Bruins,1,Vegas Golden Knights,3,,Vegas Golden Knights,Boston Bruins,0.75,0.5
2017-10-16,7:30 PM,Tampa Bay Lightning,3,Detroit Red Wings,2,,Tampa Bay Lightning,Detroit Red Wings,0.8,0.8
2017-10-17,8:30 PM,Arizona Coyotes,1,Dallas Stars,3,,Dallas Stars,Arizona Coyotes,0.4,0.1
2017-10-17,9:00 PM,Carolina Hurricanes,5,Edmonton Oilers,3,,Carolina Hurricanes,Edmonton Oilers,0.25,0.5
2017-10-17,7:30 PM,Tampa Bay Lightning,4,New Jersey Devils,5,SO,New Jersey Devils,Tampa Bay Lightning,0.8,0.8333333333333334
2017-10-17,8:00 PM,Colorado Avalanche,1,Nashville Predators,4,,Nashville Predators,Colorado Avalanche,0.5,0.6666666666666666
2017-10-17,7:00 PM,Pittsburgh Penguins,5,New York Rangers,4,OT,Pittsburgh Penguins,New York Rangers,0.16666666666666666,0.5833333333333334
2017-10-17,7:30 PM,Vancouver Canucks,3,Ottawa Senators,0,,Vancouver Canucks,Ottawa Senators,0.8,0.375
2017-10-17,7:00 PM,Florida Panthers,1,Philadelphia Flyers,5,,Philadelphia Flyers,Florida Panthers,0.6,0.5
2017-10-17,10:30 PM,Montreal Canadiens,2,San Jose Sharks,5,,San Jose Sharks,Montreal Canadiens,0.25,0.3
2017-10-17,10:00 PM,Buffalo Sabres,4,Vegas Golden Knights,5,OT,Vegas Golden Knights,Buffalo Sabres,0.8,0.25
2017-10-17,8:00 PM,Columbus Blue Jackets,5,Winnipeg Jets,2,,Columbus Blue Jackets,Winnipeg Jets,0.6,0.8
2017-10-17,7:00 PM,Toronto Maple Leafs,2,Washington Capitals,0,,Toronto Maple Leafs,Washington Capitals,0.5833333333333334,0.8
2017-10-18,10:30 PM,Montreal Canadiens,1,Los Angeles Kings,5,,Los Angeles Kings,Montreal Canadiens,0.9,0.25
2017-10-18,8:00 PM,Chicago Blackhawks,2,St. Louis Blues,5,,St. Louis Blues,Chicago Blackhawks,0.6666666666666666,0.75
2017-10-18,7:30 PM,Detroit Red Wings,3,Toronto Maple Leafs,6,,Toronto Maple Leafs,Detroit Red Wings,0.8333333333333334,0.6666666666666666
2017-10-19,10:00 PM,Dallas Stars,5,Arizona Coyotes,4,,Dallas Stars,Arizona Coyotes,0.08333333333333333,0.5
2017-10-19,7:00 PM,Vancouver Canucks,3,Boston Bruins,6,,Boston Bruins,Vancouver Canucks,0.4,0.5
2017-10-19,7:00 PM,Tampa Bay Lightning,2,Columbus Blue Jackets,0,,Tampa Bay Lightning,Columbus Blue Jackets,0.8333333333333334,0.7857142857142857
2017-10-19,9:00 PM,Carolina Hurricanes,2,Calgary Flames,1,,Carolina Hurricanes,Calgary Flames,0.6666666666666666,0.625
2017-10-19,8:30 PM,Edmonton Oilers,2,Chicago Blackhawks,1,OT,Edmonton Oilers,Chicago Blackhawks,0.6428571428571429,0.2
2017-10-19,9:00 PM,St. Louis Blues,4,Colorado Avalanche,3,,St. Louis Blues,Colorado Avalanche,0.5714285714285714,0.7142857142857143
2017-10-19,7:00 PM,New York Islanders,4,New York Rangers,3,SO,New York Islanders,New York Rangers,0.21428571428571427,0.4166666666666667
2017-10-19,7:30 PM,New Jersey Devils,5,Ottawa Senators,4,OT,New Jersey Devils,Ottawa Senators,0.6666666666666666,0.8333333333333334
2017-10-19,7:00 PM,Nashville Predators,1,Philadelphia Flyers,0,,Nashville Predators,Philadelphia Flyers,0.6666666666666666,0.5833333333333334
2017-10-20,10:00 PM,Montreal Canadiens,2,Anaheim Ducks,6,,Anaheim Ducks,Montreal Canadiens,0.4166666666666667,0.21428571428571427
2017-10-20,7:00 PM,Vancouver Canucks,4,Buffalo Sabres,2,,Vancouver Canucks,Buffalo Sabres,0.2857142857142857,0.4166666666666667
2017-10-20,7:30 PM,Washington Capitals,4,Detroit Red Wings,3,OT,Washington Capitals,Detroit Red Wings,0.5714285714285714,0.5
2017-10-20,7:30 PM,Pittsburgh Penguins,4,Florida Panthers,3,,Pittsburgh Penguins,Florida Panthers,0.4,0.6428571428571429
2017-10-20,7:00 PM,San Jose Sharks,3,New Jersey Devils,0,,San Jose Sharks,New Jersey Devils,0.8571428571428571,0.4
2017-10-20,8:00 PM,Minnesota Wild,3,Winnipeg Jets,4,,Winnipeg Jets,Minnesota Wild,0.5,0.5
2017-10-21,9:00 PM,Chicago Blackhawks,4,Arizona Coyotes,2,,Chicago Blackhawks,Arizona Coyotes,0.07142857142857142,0.625
2017-10-21,7:00 PM,Buffalo Sabres,5,Boston Bruins,4,OT,Buffalo Sabres,Boston Bruins,0.5,0.25
2017-10-21,7:00 PM,Los Angeles Kings,6,Columbus Blue Jackets,4,,Los Angeles Kings,Columbus Blue Jackets,0.7142857142857143,0.9166666666666666
2017-10-21,10:00 PM,Minnesota Wild,4,Calgary Flames,2,,Minnesota Wild,Calgary Flames,0.5714285714285714,0.4
2017-10-21,8:00 PM,Carolina Hurricanes,3,Dallas Stars,4,,Dallas Stars,Carolina Hurricanes,0.5714285714285714,0.7
2017-10-21,7:00 PM,San Jose Sharks,3,New York Islanders,5,,New York Islanders,San Jose Sharks,0.5,0.5
2017-10-21,12:30 PM,Nashville Predators,2,New York Rangers,4,,New York Rangers,Nashville Predators,0.25,0.6428571428571429
2017-10-21,7:00 PM,Toronto Maple Leafs,3,Ottawa Senators,6,,Ottawa Senators,Toronto Maple Leafs,0.6428571428571429,0.8571428571428571
2017-10-21,1:00 PM,Edmonton Oilers,1,Philadelphia Flyers,2,,Philadelphia Flyers,Edmonton Oilers,0.5714285714285714,0.3333333333333333
2017-10-21,7:00 PM,Pittsburgh Penguins,1,Tampa Bay Lightning,7,,Tampa Bay Lightning,Pittsburgh Penguins,0.8125,0.6875
2017-10-21,10:30 PM,St. Louis Blues,2,Vegas Golden Knights,3,OT,Vegas Golden Knights,St. Louis Blues,0.8333333333333334,0.75
2017-10-21,7:30 PM,Florida Panthers,4,Washington Capitals,1,,Florida Panthers,Washington Capitals,0.5625,0.3333333333333333
2017-10-22,7:00 PM,Vancouver Canucks,4,Detroit Red Wings,1,,Vancouver Canucks,Detroit Red Wings,0.5625,0.5
2017-10-23,7:00 PM,San Jose Sharks,4,New York Rangers,1,,San Jose Sharks,New York Rangers,0.3333333333333333,0.42857142857142855
2017-10-23,7:00 PM,Los Angeles Kings,2,Toronto Maple Leafs,3,,Toronto Maple Leafs,Los Angeles Kings,0.75,0.9285714285714286
2017-10-24,7:30 PM,Detroit Red Wings,0,Buffalo Sabres,1,,Buffalo Sabres,Detroit Red Wings,0.3333333333333333,0.5
2017-10-24,7:00 PM,Tampa Bay Lightning,5,Carolina Hurricanes,1,,Tampa Bay Lightning,Carolina Hurricanes,0.5833333333333334,0.8333333333333334
2017-10-24,9:00 PM,Dallas Stars,3,Colorado Avalanche,5,,Colorado Avalanche,Dallas Stars,0.5,0.625
2017-10-24,8:00 PM,Vancouver Canucks,1,Minnesota Wild,0,,Vancouver Canucks,Minnesota Wild,0.5,0.5625
2017-10-24,7:30 PM,Florida Panthers,1,Montreal Canadiens,5,,Montreal Canadiens,Florida Panthers,0.1875,0.42857142857142855
2017-10-24,8:00 PM,Calgary Flames,3,Nashville Predators,2,SO,Calgary Flames,Nashville Predators,0.5625,0.5
2017-10-24,7:00 PM,Arizona Coyotes,3,New York Islanders,5,,New York Islanders,Arizona Coyotes,0.5625,0.0625
2017-10-24,7:30 PM,Los Angeles Kings,3,Ottawa Senators,2,SO,Los Angeles Kings,Ottawa Senators,0.6875,0.8125
2017-10-24,7:00 PM,Anaheim Ducks,6,Philadelphia Flyers,2,,Anaheim Ducks,Philadelphia Flyers,0.625,0.5
2017-10-24,7:00 PM,Edmonton Oilers,1,Pittsburgh Penguins,2,OT,Pittsburgh Penguins,Edmonton Oilers,0.6111111111111112,0.2857142857142857
2017-10-24,10:00 PM,Chicago Blackhawks,2,Vegas Golden Knights,4,,Vegas Golden Knights,Chicago Blackhawks,0.8571428571428571,0.6666666666666666
2017-10-25,8:00 PM,Buffalo Sabres,1,Columbus Blue Jackets,5,,Columbus Blue Jackets,Buffalo Sabres,0.625,0.4
2017-10-25,8:00 PM,Calgary Flames,2,St. Louis Blues,5,,St. Louis Blues,Calgary Flames,0.7222222222222222,0.5555555555555556
2017-10-26,7:00 PM,San Jose Sharks,1,Boston Bruins,2,,Boston Bruins,San Jose Sharks,0.5,0.5
2017-10-26,9:00 PM,Dallas Stars,4,Edmonton Oilers,5,,Edmonton Oilers,Dallas Stars,0.3125,0.5555555555555556
2017-10-26,7:30 PM,Anaheim Ducks,3,Florida Panthers,8,,Florida Panthers,Anaheim Ducks,0.375,0.5625
2017-10-26,8:00 PM,New York Islanders,4,Minnesota Wild,6,,Minnesota Wild,New York Islanders,0.42857142857142855,0.6111111111111112
2017-10-26,7:30 PM,Los Angeles Kings,4,Montreal Canadiens,0,,Los Angeles Kings,Montreal Canadiens,0.2777777777777778,0.8333333333333334
2017-10-26,7:00 PM,Arizona Coyotes,2,New York Rangers,5,,New York Rangers,Arizona Coyotes,0.3,0.05555555555555555
2017-10-26,7:30 PM,Philadelphia Flyers,4,Ottawa Senators,5,,Ottawa Senators,Philadelphia Flyers,0.6666666666666666,0.5555555555555556
2017-10-26,7:00 PM,Winnipeg Jets,1,Pittsburgh Penguins,2,OT,Pittsburgh Penguins,Winnipeg Jets,0.65,0.5714285714285714
2017-10-26,7:30 PM,Detroit Red Wings,2,Tampa Bay Lightning,3,,Tampa Bay Lightning,Detroit Red Wings,0.85,0.45
2017-10-26,7:00 PM,Carolina Hurricanes,6,Toronto Maple Leafs,3,,Carolina Hurricanes,Toronto Maple Leafs,0.7777777777777778,0.5
2017-10-26,10:00 PM,Washington Capitals,2,Vancouver Canucks,6,,Vancouver Canucks,Washington Capitals,0.6111111111111112,0.5
2017-10-27,7:30 PM,St. Louis Blues,2,Carolina Hurricanes,1,,St. Louis Blues,Carolina Hurricanes,0.5625,0.75
2017-10-27,7:00 PM,Winnipeg Jets,1,Columbus Blue Jackets,2,OT,Columbus Blue Jackets,Winnipeg Jets,0.6666666666666666,0.5625
2017-10-27,9:00 PM,Dallas Stars,2,Calgary Flames,1,,Dallas Stars,Calgary Flames,0.5,0.5
2017-10-27,8:30 PM,Nashville Predators,2,Chicago Blackhawks,1,,Nashville Predators,Chicago Blackhawks,0.6,0.5555555555555556
2017-10-27,7:00 PM,Ottawa Senators,4,New Jersey Devils,5,SO,New Jersey Devils,Ottawa Senators,0.75,0.7
2017-10-27,6:00 PM,Colorado Avalanche,0,Vegas Golden Knights,7,,Vegas Golden Knights,Colorado Avalanche,0.875,0.5555555555555556
2017-10-28,7:00 PM,Los Angeles Kings,2,Boston Bruins,1,OT,Los Angeles Kings,Boston Bruins,0.5625,0.85
2017-10-28,1:00 PM,San Jose Sharks,3,Buffalo Sabres,2,,San Jose Sharks,Buffalo Sabres,0.36363636363636365,0.4444444444444444
2017-10-28,9:00 PM,Chicago Blackhawks,3,Colorado Avalanche,6,,Colorado Avalanche,Chicago Blackhawks,0.5,0.5454545454545454
2017-10-28,10:00 PM,Washington Capitals,5,Edmonton Oilers,2,,Washington Capitals,Edmonton Oilers,0.3888888888888889,0.45
2017-10-28,7:00 PM,Detroit Red Wings,3,Florida Panthers,2,SO,Detroit Red Wings,Florida Panthers,0.4444444444444444,0.4090909090909091
2017-10-28,8:00 PM,Pittsburgh Penguins,1,Minnesota Wild,2,,Minnesota Wild,Pittsburgh Penguins,0.5,0.6818181818181818
2017-10-28,7:00 PM,New York Rangers,4,Montreal Canadiens,5,,Montreal Canadiens,New York Rangers,0.25,0.36363636363636365
2017-10-28,7:00 PM,Arizona Coyotes,3,New Jersey Devils,4,,New Jersey Devils,Arizona Coyotes,0.7777777777777778,0.05
2017-10-28,8:00 PM,New York Islanders,6,Nashville Predators,2,,New York Islanders,Nashville Predators,0.6,0.55
2017-10-28,8:00 PM,Columbus Blue Jackets,1,St. Louis Blues,4,,St. Louis Blues,Columbus Blue Jackets,0.7727272727272727,0.7
2017-10-28,7:00 PM,Anaheim Ducks,4,Tampa Bay Lightning,1,,Anaheim Ducks,Tampa Bay Lightning,0.8636363636363636,0.5
2017-10-28,7:00 PM,Philadelphia Flyers,4,Toronto Maple Leafs,2,,Philadelphia Flyers,Toronto Maple Leafs,0.7,0.5
2017-10-29,5:00 PM,Anaheim Ducks,4,Carolina Hurricanes,3,SO,Anaheim Ducks,Carolina Hurricanes,0.5,0.55
2017-10-29,9:00 PM,Washington Capitals,1,Calgary Flames,2,,Calgary Flames,Washington Capitals,0.45454545454545453,0.5
2017-10-29,7:00 PM,Pittsburgh Penguins,1,Winnipeg Jets,7,,Winnipeg Jets,Pittsburgh Penguins,0.5555555555555556,0.625
2017-10-30,7:00 PM,Boston Bruins,3,Columbus Blue Jackets,4,SO,Columbus Blue Jackets,Boston Bruins,0.6363636363636364,0.5555555555555556
2017-10-30,7:30 PM,Tampa Bay Lightning,8,Florida Panthers,5,,Tampa Bay Lightning,Florida Panthers,0.45,0.7916666666666666
2017-10-30,7:00 PM,Vegas Golden Knights,3,New York Islanders,6,,New York Islanders,Vegas Golden Knights,0.5909090909090909,0.8888888888888888
2017-10-30,7:30 PM,Montreal Canadiens,8,Ottawa Senators,3,,Montreal Canadiens,Ottawa Senators,0.6818181818181818,0.3181818181818182
2017-10-30,7:00 PM,Arizona Coyotes,4,Philadelphia Flyers,3,OT,Arizona Coyotes,Philadelphia Flyers,0.5454545454545454,0.045454545454545456
2017-10-30,10:30 PM,Toronto Maple Leafs,2,San Jose Sharks,3,,San Jose Sharks,Toronto Maple Leafs,0.5,0.6363636363636364
2017-10-30,8:00 PM,Los Angeles Kings,2,St. Louis Blues,4,,St. Louis Blues,Los Angeles Kings,0.7916666666666666,0.8636363636363636
2017-10-30,10:00 PM,Dallas Stars,2,Vancouver Canucks,1,OT,Dallas Stars,Vancouver Canucks,0.65,0.5454545454545454
2017-10-31,7:30 PM,Arizona Coyotes,3,Detroit Red Wings,5,,Detroit Red Wings,Arizona Coyotes,0.4583333333333333,0.125
2017-10-31,8:00 PM,Winnipeg Jets,2,Minnesota Wild,1,,Winnipeg Jets,Minnesota Wild,0.5555555555555556,0.6
2017-10-31,7:00 PM,Vegas Golden Knights,4,New York Rangers,6,,New York Rangers,Vegas Golden Knights,0.3333333333333333,0.8
2017-11-01,10:00 PM,Toronto Maple Leafs,3,Anaheim Ducks,1,,Toronto Maple Leafs,Anaheim Ducks,0.5909090909090909,0.5833333333333334
2017-11-01,8:00 PM,Philadelphia Flyers,0,Chicago Blackhawks,3,,Chicago Blackhawks,Philadelphia Flyers,0.5,0.5416666666666666
2017-11-01,8:30 PM,Pittsburgh Penguins,3,Edmonton Oilers,2,,Pittsburgh Penguins,Edmonton Oilers,0.35,0.5769230769230769
2017-11-01,10:30 PM,Nashville Predators,1,San Jose Sharks,4,,San Jose Sharks,Nashville Predators,0.5454545454545454,0.5454545454545454
2017-11-01,10:00 PM,New Jersey Devils,2,Vancouver Canucks,0,,New Jersey Devils,Vancouver Canucks,0.6363636363636364,0.8
2017-11-02,10:00 PM,Buffalo Sabres,5,Arizona Coyotes,4,,Buffalo Sabres,Arizona Coyotes,0.11538461538461539,0.3333333333333333
2017-11-02,7:00 PM,Vegas Golden Knights,1,Boston Bruins,2,,Boston Bruins,Vegas Golden Knights,0.55,0.7272727272727273
2017-11-02,9:00 PM,Pittsburgh Penguins,1,Calgary Flames,2,OT,Calgary Flames,Pittsburgh Penguins,0.5,0.6071428571428571
2017-11-02,9:00 PM,Carolina Hurricanes,3,Colorado Avalanche,5,,Colorado Avalanche,Carolina Hurricanes,0.5454545454545454,0.5
2017-11-02,7:30 PM,Columbus Blue Jackets,7,Florida Panthers,3,,Columbus Blue Jackets,Florida Panthers,0.4090909090909091,0.6666666666666666
2017-11-02,10:30 PM,Toronto Maple Leafs,3,Los Angeles Kings,5,,Los Angeles Kings,Toronto Maple Leafs,0.7916666666666666,0.6153846153846154
2017-11-02,8:00 PM,Montreal Canadiens,3,Minnesota Wild,6,,Minnesota Wild,Montreal Canadiens,0.5,0.375
2017-11-02,7:30 PM,Detroit Red Wings,1,Ottawa Senators,3,,Ottawa Senators,Detroit Red Wings,0.625,0.5
2017-11-02,8:00 PM,Philadelphia Flyers,2,St. Louis Blues,0,,Philadelphia Flyers,St. Louis Blues,0.8076923076923077,0.5
2017-11-02,7:30 PM,New York Rangers,2,Tampa Bay Lightning,1,OT,New York Rangers,Tampa Bay Lightning,0.8076923076923077,0.38461538461538464
2017-11-02,8:00 PM,Dallas Stars,2,Winnipeg Jets,5,,Winnipeg Jets,Dallas Stars,0.6363636363636364,0.5833333333333334
2017-11-02,7:00 PM,New York Islanders,3,Washington Capitals,4,,Washington Capitals,New York Islanders,0.4583333333333333,0.625
2017-11-03,10:00 PM,Nashville Predators,5,Anaheim Ducks,3,,Nashville Predators,Anaheim Ducks,0.5416666666666666,0.5
2017-11-03,9:00 PM,New Jersey Devils,3,Edmonton Oilers,6,,Edmonton Oilers,New Jersey Devils,0.3181818181818182,0.8181818181818182
