Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2017-10-04,10:00 PM,Calgary Flames,0,Edmonton Oilers,3,,Edmonton Oilers,Calgary Flames,0.0,0.0
2017-10-04,8:00 PM,St. Louis Blues,5,Pittsburgh Penguins,4,OT,St. Louis Blues,Pittsburgh Penguins,0.0,0.0
2017-10-04,10:30 PM,Philadelphia Flyers,5,San Jose Sharks,3,,Philadelphia Flyers,San Jose Sharks,0.0,0.0
2017-10-04,7:00 PM,Toronto Maple Leafs,7,Winnipeg Jets,2,,Toronto Maple Leafs,Winnipeg Jets,0.0,0.0
2017-10-05,10:00 PM,Arizona Coyotes,4,Anaheim Ducks,5,,Anaheim Ducks,Arizona Coyotes,0.0,0.0
2017-10-05,7:00 PM,Nashville Predators,3,Boston Bruins,4,,Boston Bruins,Nashville Predators,0.0,0.0
2017-10-05,7:00 PM,Montreal Canadiens,3,Buffalo Sabres,2,SO,Montreal Canadiens,Buffalo Sabres,0.0,0.0
2017-10-05,8:30 PM,Pittsburgh Penguins,1,Chicago Blackhawks,10,,Chicago Blackhawks,Pittsburgh Penguins,0.0,0.5
2017-10-05,7:30 PM,Minnesota Wild,2,Detroit Red Wings,4,,Detroit Red Wings,Minnesota Wild,0.0,0.0
2017-10-05,10:00 PM,Philadelphia Flyers,0,Los Angeles Kings,2,,Los Angeles Kings,Philadelphia Flyers,0.0,1.0
2017-10-05,7:00 PM,Colorado Avalanche,4,New York Rangers,2,,Colorado Avalanche,New York Rangers,0.0,0.0
2017-10-05,7:30 PM,Washington Capitals,5,Ottawa Senators,4,SO,Washington Capitals,Ottawa Senators,0.0,0.0
2017-10-06,7:00 PM,New York Islanders,0,Columbus Blue Jackets,5,,Columbus Blue Jackets,New York Islanders,0.0,0.0
2017-10-06,8:30 PM,Vegas Golden Knights,2,Dallas Stars,1,,Vegas Golden Knights,Dallas Stars,0.0,0.0
2017-10-06,7:30 PM,Florida Panthers,3,Tampa Bay Lightning,5,,Tampa Bay Lightning,Florida Panthers,0.0,0.0
2017-10-07,10:00 PM,Philadelphia Flyers,3,Anaheim Ducks,2,OT,Philadelphia Flyers,Anaheim Ducks,1.0,0.5
2017-10-07,9:00 PM,Vegas Golden Knights,2,Arizona Coyotes,1,OT,Vegas Golden Knights,Arizona Coyotes,0.0,1.0
2017-10-07,7:00 PM,Minnesota Wild,4,Carolina Hurricanes,5,SO,Carolina Hurricanes,Minnesota Wild,0.0,0.0
2017-10-07,10:00 PM,Winnipeg Jets,3,Calgary Flames,6,,Calgary Flames,Winnipeg Jets,0.0,0.0
2017-10-07,8:30 PM,Columbus Blue Jackets,1,Chicago Blackhawks,5,,Chicago Blackhawks,Columbus Blue Jackets,1.0,1.0
