Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2016-10-12,8:00 PM,St. Louis Blues,5,Chicago Blackhawks,2,,St. Louis Blues,Chicago Blackhawks,0.0,0.0
2016-10-12,10:00 PM,Calgary Flames,4,Edmonton Oilers,7,,Edmonton Oilers,Calgary Flames,0.0,0.0
2016-10-12,7:00 PM,Toronto Maple Leafs,4,Ottawa Senators,5,OT,Ottawa Senators,Toronto Maple Leafs,0.0,0.0
2016-10-12,10:30 PM,Los Angeles Kings,1,San Jose Sharks,2,,San Jose Sharks,Los Angeles Kings,0.0,0.0
2016-10-13,7:00 PM,Montreal Canadiens,4,Buffalo Sabres,1,,Montreal Canadiens,Buffalo Sabres,0.0,0.0
2016-10-13,7:00 PM,Boston Bruins,6,Columbus Blue Jackets,3,,Boston Bruins,Columbus Blue Jackets,0.0,0.0
2016-10-13,8:30 PM,Anaheim Ducks,2,Dallas Stars,4,,Dallas Stars,Anaheim Ducks,0.0,0.0
2016-10-13,7:30 PM,New Jersey Devils,1,Florida Panthers,2,OT,Florida Panthers,New Jersey Devils,0.0,0.0
2016-10-13,7:00 PM,New York Islanders,3,New York Rangers,5,,New York Rangers,New York Islanders,0.0,0.0
2016-10-13,8:00 PM,Washington Capitals,2,Pittsburgh Penguins,3,SO,Pittsburgh Penguins,Washington Capitals,0.0,0.0
2016-10-13,8:00 PM,Minnesota Wild,2,St. Louis Blues,3,,St. Louis Blues,Minnesota Wild,1.0,0.0
2016-10-13,7:30 PM,Detroit Red Wings,4,Tampa Bay Lightning,6,,Tampa Bay Lightning,Detroit Red Wings,0.0,0.0
2016-10-13,8:00 PM,Carolina Hurricanes,4,Winnipeg Jets,5,OT,Winnipeg Jets,Carolina Hurricanes,0.0,0.0
2016-10-14,9:00 PM,Edmonton Oilers,5,Calgary Flames,3,,Edmonton Oilers,Calgary Flames,0.0,1.0
2016-10-14,10:30 PM,Philadelphia Flyers,4,Los Angeles Kings,2,,Philadelphia Flyers,Los Angeles Kings,0.0,0.0
2016-10-14,8:00 PM,Chicago Blackhawks,2,Nashville Predators,3,,Nashville Predators,Chicago Blackhawks,0.0,0.0
2016-10-15,9:00 PM,Philadelphia Flyers,3,Arizona Coyotes,4,OT,Arizona Coyotes,Philadelphia Flyers,0.0,1.0
2016-10-15,7:00 PM,San Jose Sharks,3,Columbus Blue Jackets,2,,San Jose Sharks,Columbus Blue Jackets,0.0,1.0
2016-10-15,8:30 PM,Nashville Predators,3,Chicago Blackhawks,5,,Chicago Blackhawks,Nashville Predators,0.0,1.0
2016-10-15,9:00 PM,Dallas Stars,5,Colorado Avalanche,6,,Colorado Avalanche,Dallas Stars,0.0,1.0
2016-10-15,7:00 PM,Detroit Red Wings,1,Florida Panthers,4,,Florida Panthers,Detroit Red Wings,1.0,0.0
2016-10-15,7:00 PM,Winnipeg Jets,3,Minnesota Wild,4,,Minnesota Wild,Winnipeg Jets,0.0,1.0
2016-10-15,7:00 PM,Montreal Canadiens,3,Ottawa Senators,4,SO,Ottawa Senators,Montreal Canadiens,1.0,1.0
2016-10-15,7:00 PM,Anaheim Ducks,2,Pittsburgh Penguins,3,,Pittsburgh Penguins,Anaheim Ducks,1.0,0.0
2016-10-15,8:00 PM,New York Rangers,2,St. Louis Blues,3,,St. Louis Blues,New York Rangers,1.0,1.0
2016-10-15,7:00 PM,New Jersey Devils,2,Tampa Bay Lightning,3,,Tampa Bay Lightning,New Jersey Devils,1.0,0.5
2016-10-15,7:00 PM,Boston Bruins,1,Toronto Maple Leafs,4,,Toronto Maple Leafs,Boston Bruins,0.5,1.0
2016-10-15,10:00 PM,Calgary Flames,1,Vancouver Canucks,2,SO,Vancouver Canucks,Calgary Flames,0.0,0.0
2016-10-15,7:00 PM,New York Islanders,1,Washington Capitals,2,,Washington Capitals,New York Islanders,0.5,0.0
2016-10-16,7:00 PM,Buffalo Sabres,6,Edmonton Oilers,2,,Buffalo Sabres,Edmonton Oilers,1.0,0.0
2016-10-16,6:00 PM,Anaheim Ducks,2,New York Islanders,3,OT,New York Islanders,Anaheim Ducks,0.0,0.0
2016-10-16,10:00 PM,Carolina Hurricanes,3,Vancouver Canucks,4,OT,Vancouver Canucks,Carolina Hurricanes,1.0,0.5
2016-10-17,7:30 PM,Ottawa Senators,1,Detroit Red Wings,5,,Detroit Red Wings,Ottawa Senators,0.0,1.0
2016-10-17,7:00 PM,San Jose Sharks,4,New York Rangers,7,,New York Rangers,San Jose Sharks,0.5,1.0
2016-10-17,7:00 PM,Colorado Avalanche,4,Pittsburgh Penguins,3,OT,Colorado Avalanche,Pittsburgh Penguins,1.0,1.0
2016-10-17,8:00 PM,Boston Bruins,4,Winnipeg Jets,1,,Boston Bruins,Winnipeg Jets,0.5,0.5
2016-10-18,9:00 PM,Buffalo Sabres,3,Calgary Flames,4,OT,Calgary Flames,Buffalo Sabres,0.16666666666666666,0.5
2016-10-18,8:30 PM,Philadelphia Flyers,4,Chicago Blackhawks,7,,Chicago Blackhawks,Philadelphia Flyers,0.3333333333333333,0.75
2016-10-18,9:00 PM,Carolina Hurricanes,2,Edmonton Oilers,3,,Edmonton Oilers,Carolina Hurricanes,0.6666666666666666,0.5
2016-10-18,8:00 PM,Los Angeles Kings,3,Minnesota Wild,6,,Minnesota Wild,Los Angeles Kings,0.5,0.0
2016-10-18,7:30 PM,Pittsburgh Penguins,0,Montreal Canadiens,4,,Montreal Canadiens,Pittsburgh Penguins,0.75,0.8333333333333334
2016-10-18,7:00 PM,Anaheim Ducks,1,New Jersey Devils,2,,New Jersey Devils,Anaheim Ducks,0.25,0.16666666666666666
2016-10-18,8:00 PM,Dallas Stars,2,Nashville Predators,1,,Dallas Stars,Nashville Predators,0.5,0.5
