Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
2018-10-03,10:30 PM,Anaheim Ducks,5,San Jose Sharks,2,,17562,2:25,
2018-10-03,7:00 PM,Montreal Canadiens,2,Toronto Maple Leafs,3,OT,19589,2:37,
2018-10-03,10:00 PM,Calgary Flames,2,Vancouver Canucks,5,,18870,2:31,
2018-10-03,7:30 PM,Boston Bruins,0,Washington Capitals,7,,18506,2:30,
2018-10-04,7:00 PM,Boston Bruins,4,Buffalo Sabres,0,,19070,2:35,
2018-10-04,7:00 PM,New York Islanders,2,Carolina Hurricanes,1,OT,18680,2:34,
2018-10-04,9:00 PM,Minnesota Wild,1,Colorado Avalanche,4,,18086,2:37,
2018-10-04,8:30 PM,Arizona Coyotes,0,Dallas Stars,3,,18532,2:34,
2018-10-04,7:30 PM,Columbus Blue Jackets,3,Detroit Red Wings,2,OT,19515,2:43,at Little Caesars Arena (Detroit MI)
2018-10-04,7:30 PM,Nashville Predators,3,New York Rangers,2,,17117,2:31,
2018-10-04,7:30 PM,Chicago Blackhawks,4,Ottawa Senators,3,OT,15858,2:38,
2018-10-04,7:00 PM,Washington Capitals,6,Pittsburgh Penguins,7,OT,18627,2:39,
2018-10-04,8:00 PM,Winnipeg Jets,5,St. Louis Blues,1,,18292,2:35,
2018-10-04,10:00 PM,Philadelphia Flyers,5,Vegas Golden Knights,2,,18555,2:24,
2018-10-05,7:00 PM,Carolina Hurricanes,3,Columbus Blue Jackets,1,,18306,2:35,
2018-10-05,10:30 PM,San Jose Sharks,3,Los Angeles Kings,2,OT,18230,2:36,
2018-10-06,9:00 PM,Anaheim Ducks,1,Arizona Coyotes,0,,17125,2:24,
2018-10-06,7:00 PM,New York Rangers,1,Buffalo Sabres,3,,16824,2:45,
2018-10-06,10:00 PM,Vancouver Canucks,4,Calgary Flames,7,,18688,2:39,
2018-10-06,9:00 PM,Philadelphia Flyers,2,Colorado Avalanche,5,,16768,2:33,
2018-10-06,7:00 PM,Winnipeg Jets,1,Dallas Stars,5,,18131,2:36,
2018-10-06,8:00 PM,Vegas Golden Knights,2,Minnesota Wild,1,SO,19077,3:18,
2018-10-06,1:00 PM,Edmonton Oilers,2,New Jersey Devils,5,,12044,2:31,NHL Global Series
2018-10-06,7:00 PM,Nashville Predators,4,New York Islanders,3,,12163,2:25,
2018-10-06,7:00 PM,Montreal Canadiens,5,Pittsburgh Penguins,1,,18622,2:26,
2018-10-06,8:00 PM,Chicago Blackhawks,5,St. Louis Blues,4,OT,17429,2:39,
2018-10-06,7:00 PM,Florida Panthers,1,Tampa Bay Lightning,2,SO,19092,2:39,
2018-10-06,7:00 PM,Ottawa Senators,5,Toronto Maple Leafs,3,,19321,2:35,
2018-10-07,5:00 PM,New York Rangers,5,Carolina Hurricanes,8,,13526,2:37,
2018-10-07,7:00 PM,Toronto Maple Leafs,7,Chicago Blackhawks,6,OT,21812,2:31,
2018-10-07,10:30 PM,Detroit Red Wings,2,Los Angeles Kings,4,,18230,2:43,
2018-10-08,10:00 PM,Detroit Red Wings,2,Anaheim Ducks,3,SO,17436,2:44,
2018-10-08,1:00 PM,Ottawa Senators,3,Boston Bruins,6,,17565,2:33,
2018-10-08,3:00 PM,Vegas Golden Knights,2,Buffalo Sabres,4,,16004,2:20,
2018-10-08,1:00 PM,San Jose Sharks,0,New York Islanders,4,,8790,2:26,
2018-10-09,7:00 PM,Vancouver Canucks,3,Carolina Hurricanes,5,,11932,2:35,
2018-10-09,7:00 PM,Colorado Avalanche,2,Columbus Blue Jackets,5,,11694,2:27,
2018-10-09,8:30 PM,Toronto Maple Leafs,7,Dallas Stars,4,,17866,2:30,
2018-10-09,8:00 PM,Calgary Flames,3,Nashville Predators,0,,17209,2:32,
2018-10-09,7:00 PM,San Jose Sharks,8,Philadelphia Flyers,2,,19133,2:34,
2018-10-09,8:00 PM,Los Angeles Kings,1,Winnipeg Jets,2,,15321,2:27,
2018-10-10,10:00 PM,Arizona Coyotes,3,Anaheim Ducks,2,SO,17015,2:30,
2018-10-10,7:30 PM,Philadelphia Flyers,7,Ottawa Senators,4,,13215,2:38,
2018-10-10,8:00 PM,Vegas Golden Knights,2,Washington Capitals,5,,18506,2:40,
2018-10-11,7:00 PM,Edmonton Oilers,1,Boston Bruins,4,,17565,2:28,
2018-10-11,7:00 PM,Colorado Avalanche,6,Buffalo Sabres,1,,15396,2:30,
2018-10-11,7:30 PM,Toronto Maple Leafs,5,Detroit Red Wings,3,,19515,2:32,at Little Caesars Arena (Detroit MI)
2018-10-11,7:00 PM,Columbus Blue Jackets,5,Florida Panthers,4,,14394,2:34,
2018-10-11,8:00 PM,Chicago Blackhawks,3,Minnesota Wild,4,OT,18652,2:42,
2018-10-11,7:30 PM,Los Angeles Kings,3,Montreal Canadiens,0,,21302,2:33,
2018-10-11,7:00 PM,Washington Capitals,0,New Jersey Devils,6,,16514,2:31,
2018-10-11,8:00 PM,Winnipeg Jets,0,Nashville Predators,3,,17228,2:30,
2018-10-11,7:00 PM,San Jose Sharks,2,New York Rangers,3,OT,17004,2:31,
2018-10-11,7:00 PM,Vegas Golden Knights,2,Pittsburgh Penguins,4,,18610,2:27,
2018-10-11,8:00 PM,Calgary Flames,3,St. Louis Blues,5,,16403,2:37,
2018-10-11,7:30 PM,Vancouver Canucks,4,Tampa Bay Lightning,1,,19092,2:23,
2018-10-13,9:00 PM,Buffalo Sabres,3,Arizona Coyotes,0,,15304,2:32,
2018-10-13,3:00 PM,Detroit Red Wings,2,Boston Bruins,8,,17565,2:40,
2018-10-13,8:30 PM,St. Louis Blues,3,Chicago Blackhawks,4,OT,21634,2:38,
2018-10-13,10:00 PM,Calgary Flames,3,Colorado Avalanche,2,OT,17334,2:34,
2018-10-13,8:00 PM,Anaheim Ducks,3,Dallas Stars,5,,18532,2:38,
2018-10-13,7:00 PM,Vancouver Canucks,3,Florida Panthers,2,,11953,2:32,
2018-10-13,6:00 PM,Carolina Hurricanes,5,Minnesota Wild,4,OT,18715,2:56,
2018-10-13,7:00 PM,Pittsburgh Penguins,3,Montreal Canadiens,4,SO,21302,3:23,
